call_id,caller_number,receiver_number,imei,imsi,duration_seconds,call_type,timestamp,tower_id,tower_location
13,9523969922,9405430241,352786299825850,404951880053173,158,OUTGOING,2026-10-02 02:42:02,T-7802,Delhi-Unknown
10,9139854681,9633166031,356011797744071,404151960084931,30,OUTGOING,2026-10-02 03:12:49,T-2102,Delhi-Unknown
12,9332921964,9413336939,352495529145584,404890990795845,214,OUTGOING,2026-10-02 04:01:21,T-1044,Delhi-Unknown
7,9962013798,9834550139,351766259037122,404899967460157,162,OUTGOING,2026-10-02 04:28:37,T-6526,Delhi-Unknown
9,9359944509,9209371006,352803028532690,404964338620286,41,OUTGOING,2026-10-02 04:44:08,T-1399,Delhi-Unknown
11,9716504520,9828517204,359212629538957,404676845366900,30,OUTGOING,2026-10-02 05:03:43,T-9380,Delhi-Unknown
8,9170510765,9433528489,356209770302244,404188870471015,180,OUTGOING,2026-10-02 05:56:11,T-9918,Delhi-Unknown
14,9722801475,9157351891,356073415724081,404187837688624,134,OUTGOING,2026-10-02 06:27:55,T-2415,Delhi-Unknown
3,9811234567,9900112233,358234091674523,404133870443730,90,OUTGOING,2026-10-02 09:48:00,T-1001,Delhi-Rohini-07
1,9811234567,9876543210,358234091674523,404133870443730,134,OUTGOING,2026-10-02 09:51:00,T-1001,Delhi-Rohini-07
2,9811234567,9876543210,358234091674523,404133870443730,45,OUTGOING,2026-10-02 09:53:20,T-1001,Delhi-Rohini-07
4,9900112233,9811223344,358234091674523,404163282768869,28,OUTGOING,2026-10-02 10:09:12,T-2002,Delhi-Rohini-12
5,9811223344,9922334455,490123876543219,404684632917364,15,OUTGOING,2026-10-02 10:10:55,T-3003,Delhi-Pitampura-03
6,9876543210,9811234567,353832963794822,404281218524748,0,MISSED,2026-10-02 10:31:00,T-4004,Delhi-Shalimar-Bagh-01
