call_id,caller_number,receiver_number,imei,imsi,duration_seconds,call_type,timestamp,tower_id,tower_location
C001,9123456789,9876543210,881234567890123,404400123987456,120,INCOMING,2026-10-02 08:15:00,DL-PTM-03,Delhi-Pitampura-03
C002,9811234567,9988776655,358234091674523,404100123456789,15,OUTGOING,2026-10-02 08:45:00,DL-RHN-07,Delhi-Rohini-07
C003,9999888877,9811223344,771234567890123,404500123456789,45,INCOMING,2026-10-02 09:10:00,DL-RHN-12,Delhi-Rohini-12
C004,9900112233,9911223344,358234091674523,404100123456790,60,OUTGOING,2026-10-02 09:30:00,DL-SHL-01,Delhi-Shalimar-Bagh-01
C005,9811234567,9900112233,358234091674523,404100123456789,90,OUTGOING,2026-10-02 09:48:00,DL-RHN-07,Delhi-Rohini-07
C006,9811234567,9876543210,358234091674523,404100123456789,134,OUTGOING,2026-10-02 09:51:00,DL-RHN-07,Delhi-Rohini-07
C007,9811234567,9876543210,358234091674523,404100123456789,45,OUTGOING,2026-10-02 09:53:20,DL-RHN-07,Delhi-Rohini-07
C008,9811234567,9876543210,358234091674523,404100123456789,0,SMS,2026-10-02 09:54:40,DL-RHN-07,Delhi-Rohini-07
C009,9876543210,1800112211,991234567890123,404200987654321,300,OUTGOING,2026-10-02 09:55:10,DL-PTM-03,Delhi-Pitampura-03
C010,9900112233,9811223344,358234091674523,404100123456790,28,OUTGOING,2026-10-02 10:09:12,DL-SHL-01,Delhi-Shalimar-Bagh-01
C011,9811223344,9922334455,490123876543219,404300456123789,15,OUTGOING,2026-10-02 10:10:55,DL-RHN-12,Delhi-Rohini-12
C012,9944556677,9988887777,358234091674523,404800123456789,5,OUTGOING,2026-10-02 10:24:02,DL-SHL-01,Delhi-Shalimar-Bagh-01
C013,9876543210,9811234567,991234567890123,404200987654321,0,OUTGOING,2026-10-02 10:31:00,DL-PTM-03,Delhi-Pitampura-03
C014,9811234567,9922334455,358234091674523,404100123456789,0,MISSED,2026-10-02 11:00:00,DL-RHN-07,Delhi-Rohini-07
C015,9111122222,9876543210,661234567890123,404600123456789,10,INCOMING,2026-10-02 11:30:00,DL-PTM-03,Delhi-Pitampura-03
C016,9922334455,9811223344,357890123456789,404700123456789,20,INCOMING,2026-10-02 12:00:00,DL-RHN-12,Delhi-Rohini-12
C017,9912341234,9876543210,551234567890123,404900123456789,50,INCOMING,2026-10-02 12:45:00,DL-PTM-03,Delhi-Pitampura-03
C018,9811223344,9988776655,490123876543219,404300456123789,45,OUTGOING,2026-10-02 13:10:00,DL-RHN-12,Delhi-Rohini-12
C019,9922334455,9999888877,357890123456789,404700123456789,120,OUTGOING,2026-10-02 13:40:00,DL-RHN-12,Delhi-Rohini-12
C020,9944556677,9123456789,358234091674523,404800123456789,20,OUTGOING,2026-10-02 14:15:00,DL-SHL-01,Delhi-Shalimar-Bagh-01
C021,9876543210,9111122222,991234567890123,404200987654321,75,OUTGOING,2026-10-02 14:30:00,DL-PTM-03,Delhi-Pitampura-03
C022,9900112233,9922334455,358234091674523,404100123456790,0,MISSED,2026-10-02 15:00:00,DL-SHL-01,Delhi-Shalimar-Bagh-01
C023,9912341234,9811223344,551234567890123,404900123456789,15,INCOMING,2026-10-02 15:20:00,DL-RHN-12,Delhi-Rohini-12
C024,9944556677,9988776655,358234091674523,404800123456789,90,OUTGOING,2026-10-02 16:05:00,DL-SHL-01,Delhi-Shalimar-Bagh-01
C025,9876543210,9999888877,991234567890123,404200987654321,30,OUTGOING,2026-10-02 16:45:00,DL-PTM-03,Delhi-Pitampura-03
C026,9811223344,9123456789,490123876543219,404300456123789,10,OUTGOING,2026-10-02 17:10:00,DL-RHN-12,Delhi-Rohini-12
C027,9922334455,9111122222,357890123456789,404700123456789,45,OUTGOING,2026-10-02 17:35:00,DL-RHN-12,Delhi-Rohini-12
C028,9944556677,9912341234,358234091674523,404800123456789,20,OUTGOING,2026-10-02 18:00:00,DL-SHL-01,Delhi-Shalimar-Bagh-01
