session_id,ip_address,mac_address,phone_number,imei,session_start,session_end,data_transferred_mb,isp,device_model
S001,103.45.67.89,A1:B2:C3:D4:E5:F6,9811234567,358234091674523,2026-10-02 09:45:00,2026-10-02 09:55:00,15.2,Reliance Jio,Redmi Note 11
S002,103.45.67.89,B2:C3:D4:E5:F6:A1,9900112233,358234091674523,2026-10-02 10:00:00,2026-10-02 10:15:00,22.5,Reliance Jio,Redmi Note 11
S003,182.72.114.56,C3:D4:E5:F6:A1:B2,9811223344,490123876543219,2026-10-02 10:05:00,2026-10-02 10:20:00,8.7,Bharti Airtel,Samsung Galaxy M32
S004,182.72.114.56,D4:E5:F6:A1:B2:C3,9922334455,357890123456789,2026-10-02 10:10:00,2026-10-02 10:25:00,12.3,Bharti Airtel,Vivo V21
S005,11.22.33.44,E5:F6:A1:B2:C3:D4,9123456789,881234567890123,2026-10-02 08:30:00,2026-10-02 09:00:00,45.6,BSNL,Realme 8i
S006,55.66.77.88,F6:A1:B2:C3:D4:E5,9988776655,551234567890123,2026-10-02 09:15:00,2026-10-02 09:45:00,18.9,Vodafone Idea,Samsung Galaxy M32
S007,99.88.77.66,A1:B2:C3:D4:E5:F7,9999888877,771234567890123,2026-10-02 10:30:00,2026-10-02 11:00:00,32.1,Reliance Jio,Redmi Note 11
S008,22.33.44.55,B2:C3:D4:E5:F6:A2,9911223344,661234567890123,2026-10-02 11:15:00,2026-10-02 11:45:00,10.5,Bharti Airtel,Vivo V21
S009,103.45.67.89,A1:B2:C3:D4:E5:F6,9811234567,358234091674523,2026-10-02 12:00:00,2026-10-02 12:30:00,25.8,Reliance Jio,Redmi Note 11
S010,182.72.114.56,C3:D4:E5:F6:A1:B2,9811223344,490123876543219,2026-10-02 13:15:00,2026-10-02 13:45:00,14.2,Bharti Airtel,Samsung Galaxy M32
S011,182.72.114.56,D4:E5:F6:A1:B2:C3,9922334455,357890123456789,2026-10-02 14:00:00,2026-10-02 14:30:00,19.6,Bharti Airtel,Vivo V21
S012,11.22.33.44,E5:F6:A1:B2:C3:D4,9123456789,881234567890123,2026-10-02 15:30:00,2026-10-02 16:00:00,38.4,BSNL,Realme 8i
S013,55.66.77.88,F6:A1:B2:C3:D4:E5,9988776655,551234567890123,2026-10-02 16:15:00,2026-10-02 16:45:00,21.7,Vodafone Idea,Samsung Galaxy M32
S014,99.88.77.66,A1:B2:C3:D4:E5:F7,9999888877,771234567890123,2026-10-02 17:30:00,2026-10-02 18:00:00,27.3,Reliance Jio,Redmi Note 11
S015,22.33.44.55,B2:C3:D4:E5:F6:A2,9911223344,661234567890123,2026-10-02 18:15:00,2026-10-02 18:45:00,16.8,Bharti Airtel,Vivo V21
S016,103.45.67.89,B2:C3:D4:E5:F6:A1,9900112233,358234091674523,2026-10-02 19:00:00,2026-10-02 19:30:00,31.2,Reliance Jio,Redmi Note 11
S017,182.72.114.56,C3:D4:E5:F6:A1:B2,9811223344,490123876543219,2026-10-02 20:15:00,2026-10-02 20:45:00,11.5,Bharti Airtel,Samsung Galaxy M32
S018,182.72.114.56,D4:E5:F6:A1:B2:C3,9922334455,357890123456789,2026-10-02 21:00:00,2026-10-02 21:30:00,24.1,Bharti Airtel,Vivo V21
